,fips,cases,deaths,employed-sugar-intake-daily,Democrats,Republicans
14749,9,424412,8909,18.9,True,False
14750,11,67173,1197,18.5,True,False
14751,18,1116362,17652,35.9,False,True
14752,19,530060,7445,34.2,False,True
14753,20,470706,6736,32.4,False,True
14754,21,796679,11133,43.4,False,True
14755,24,589346,11229,28.0,True,False
14756,27,921373,9678,23.5,True,False
14757,28,515208,10290,49.7,False,True
14758,31,312517,3168,31.1,False,True
14759,34,1260355,28420,22.7,True,False
14760,36,2749263,57158,23.1,True,False
14761,37,1541109,18817,42.1,False,True
14762,39,1708292,26587,32.0,False,True
14763,40,669132,10879,46.5,False,True
14764,45,920311,14269,42.0,False,True
14765,49,600211,3545,30.3,False,True
14766,50,51134,414,16.7,True,False
14767,54,297415,4945,46.1,False,True
14768,55,992516,10095,29.7,False,True
14769,2,150989,859,26.2,False,True
14770,4,1282191,22397,33.0,False,True
14771,6,5107543,74987,22.9,True,False
14772,9,425275,8925,18.9,True,False
14773,11,67430,1197,18.5,True,False
14774,18,1121965,17712,35.9,False,True
14775,19,530060,7445,34.2,False,True
14776,20,475373,6759,32.4,False,True
14777,21,799509,11196,43.4,False,True
14778,24,591046,11240,28.0,True,False
14779,27,927055,9740,23.5,True,False
14780,28,515504,10296,49.7,False,True
14781,31,313935,3180,31.1,False,True
14782,34,1264818,28434,22.7,True,False
14783,36,2760505,57211,23.1,True,False
14784,37,1544835,18835,42.1,False,True
14785,39,1717876,26851,32.0,False,True
14786,40,670420,11269,46.5,False,True
14787,45,921722,14272,42.0,False,True
14788,49,602086,3564,30.3,False,True
14789,50,51629,416,16.7,True,False
14790,54,298659,4962,46.1,False,True
14791,55,997712,10134,29.7,False,True
14792,2,150989,859,26.2,False,True
14793,4,1288234,22561,33.0,False,True
14794,6,5109833,75006,22.9,True,False
14795,9,425275,8925,18.9,True,False
14796,11,67430,1197,18.5,True,False
14797,18,1121965,17712,35.9,False,True
14798,19,534623,7445,34.2,False,True
14799,20,475373,6759,32.4,False,True
14800,21,799620,11210,43.4,False,True
14801,24,592912,11255,28.0,True,False
14802,27,927055,9740,23.5,True,False
14803,28,515504,10296,49.7,False,True
14804,31,313935,3180,31.1,False,True
14805,34,1269232,28452,22.7,True,False
14806,36,2768147,57241,23.1,True,False
14807,37,1544835,18835,42.1,False,True
14808,39,1725669,26851,32.0,False,True
14809,40,670420,11269,46.5,False,True
14810,45,921722,14272,42.0,False,True
14811,49,602086,3564,30.3,False,True
14812,50,52195,416,16.7,True,False
14813,54,299827,4962,46.1,False,True
14814,55,997712,10134,29.7,False,True
